date,crise financeira,crise econômica,pânico financeiro,colapso econômico,crash bolsa,queda ibovespa,volatilidade bolsa,bear market brasil,fuga capitais,bolsa despenca,risco default brasil,rebaixamento rating brasil,dívida pública brasil,recessão brasil,desemprego brasil,desvalorização real,dólar dispara,crise bancária,corrida bancária,alta juros brasil,investir agora,vender ações,mercado vai cair,proteção carteira,como proteger investimentos
2014-06-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,0,0,5,10,0,0,0
2014-07-01,2,1,0,0,0,0,0,0,0,0,0,0,1,1,14,8,0,0,0,0,4,17,0,0,0
2014-08-01,3,2,0,0,0,0,0,0,0,0,0,0,1,3,18,16,0,0,0,0,0,13,0,0,0
2014-09-01,3,2,0,0,0,0,0,0,0,0,0,0,0,4,22,23,0,0,0,0,4,12,0,0,0
2014-10-01,3,2,0,0,0,11,0,0,0,13,0,0,1,3,43,24,0,0,0,14,8,18,0,0,0
2014-11-01,3,4,0,0,0,0,0,0,0,0,0,0,1,1,21,21,0,0,0,0,8,13,5,0,0
2014-12-01,2,1,0,0,0,0,0,0,0,0,0,0,0,1,10,14,0,0,0,0,12,10,0,0,0
2015-01-01,3,1,0,0,0,0,0,0,0,0,0,0,0,1,13,7,0,0,0,0,8,17,0,0,0
2015-02-01,3,1,0,0,0,0,0,0,0,0,0,0,0,2,14,21,0,0,0,9,10,20,0,0,0
2015-03-01,5,3,0,0,0,0,0,0,0,0,0,0,0,2,20,40,0,0,0,0,13,15,0,0,0
2015-04-01,5,3,0,0,0,0,0,0,0,0,0,0,0,1,20,15,0,0,0,12,11,21,0,4,0
2015-05-01,6,3,0,0,0,0,0,0,0,0,0,0,0,2,24,20,0,0,0,10,11,16,0,4,0
2015-06-01,6,4,0,0,0,0,0,0,0,0,0,0,0,1,24,20,0,0,0,0,10,18,0,0,0
2015-07-01,6,3,0,0,0,0,0,0,0,0,0,0,1,1,22,21,0,0,0,0,11,18,0,5,0
2015-08-01,6,5,0,0,0,0,0,0,0,0,0,0,1,4,26,25,0,0,0,10,11,14,0,0,0
2015-09-01,8,6,0,0,0,0,0,0,0,0,0,0,1,3,28,62,0,0,0,7,14,17,0,0,0
2015-10-01,6,6,0,0,0,0,0,0,0,0,0,0,1,1,25,36,0,0,0,0,8,16,0,4,0
2015-11-01,5,4,0,0,0,0,0,0,0,0,0,0,1,1,27,41,0,0,0,0,8,17,0,0,0
2015-12-01,3,2,0,0,0,0,0,0,0,0,0,0,0,1,15,23,0,0,0,0,13,11,0,0,0
2016-01-01,3,2,0,0,0,0,0,0,0,0,0,0,0,1,12,13,0,0,0,0,7,18,0,0,0
2016-02-01,4,3,0,0,0,0,0,0,0,0,0,0,0,1,18,15,0,0,0,0,6,16,0,0,0
2016-03-01,5,5,0,0,0,0,0,0,0,0,0,0,0,2,28,26,0,0,0,0,10,18,0,0,0
2016-04-01,5,5,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,9,18,0,0,0
2016-05-01,5,5,0,0,1,0,0,0,0,0,0,0,1,1,35,51,0,0,0,12,11,22,0,4,0
2016-06-01,5,5,0,0,0,0,0,0,0,0,0,0,0,1,25,18,0,0,0,0,11,18,0,4,0
2016-07-01,3,2,0,0,0,0,0,0,0,0,0,0,0,1,16,10,14,0,0,0,7,14,0,0,0
2016-08-01,3,3,0,0,0,0,0,0,0,0,0,0,0,1,21,9,0,0,0,0,6,19,0,0,0
2016-09-01,3,4,0,0,0,0,0,0,0,0,0,0,0,1,23,10,0,0,0,0,8,19,0,0,0
2016-10-01,4,3,0,0,0,0,0,0,0,0,0,0,1,1,20,9,0,0,0,7,7,18,0,0,0
2016-11-01,5,4,0,0,0,0,0,0,0,0,0,0,1,1,23,13,0,0,0,0,12,25,0,0,0
2016-12-01,3,2,0,0,0,0,0,0,0,0,0,0,1,1,12,8,0,0,7,0,7,14,0,0,0
2017-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,1,13,9,0,0,0,0,11,15,0,0,0
2017-02-01,3,2,0,0,0,0,0,0,0,0,0,0,0,1,19,8,0,0,0,0,6,17,4,0,0
2017-03-01,4,3,0,0,0,7,0,0,0,0,0,0,0,1,23,15,0,0,0,0,5,18,0,4,0
2017-04-01,3,3,0,0,0,0,0,0,0,0,0,0,0,1,23,10,0,0,0,0,0,18,0,0,0
2017-05-01,4,4,0,0,1,8,0,0,6,7,0,0,0,1,26,11,0,0,0,0,11,25,0,0,0
2017-06-01,4,3,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,8,6,22,0,0,0
2017-07-01,2,2,0,0,0,0,0,0,0,0,0,0,1,1,16,0,0,0,0,0,5,14,0,0,0
2017-08-01,3,3,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,8,24,0,0,0
2017-09-01,3,3,0,0,0,0,0,0,0,0,0,0,0,1,21,10,0,0,0,0,7,16,0,0,0
2017-10-01,3,3,0,0,0,0,0,0,0,0,0,0,0,1,22,12,0,0,0,0,7,23,0,5,0
2017-11-01,3,3,0,0,0,0,0,0,6,0,0,0,0,1,22,13,0,0,0,0,6,12,0,0,0
2017-12-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,6,15,0,0,0
2018-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,16,0,7,0
2018-02-01,2,2,0,0,0,9,0,0,0,0,0,0,0,0,13,0,0,0,0,0,5,16,0,0,0
2018-03-01,3,3,0,0,0,5,0,0,0,0,0,0,0,1,21,13,0,0,0,0,6,20,3,0,0
2018-04-01,3,4,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,4,15,0,0,0
2018-05-01,3,5,0,0,0,8,0,0,0,0,0,0,0,1,28,18,0,0,0,0,10,23,0,4,0
