title,url,date,source,keyword
Falta dinheiro em Cuba: país vive escassez de notas em meio à pior crise econômica em décadas,https://g1.globo.com/mundo/noticia/2024/04/27/falta-dinheiro-em-cuba-pais-vive-escassez-de-notas-em-meio-a-pior-crise-economica-em-decadas.ghtml,2024-04-27,g1,crise econômica
"PIB: Brasil fica atrás de Turquia e Índia, mas cresce mais do que EUA e Europa",https://g1.globo.com/economia/noticia/2024/06/04/pib-brasil-fica-atras-de-turquia-e-india-mas-cresce-mais-do-que-eua-e-europa.ghtml,2024-06-04,g1,recessão brasil
Tombo maior em 2024 e forte crescimento em 2025: as projeções do Banco Mundial para a Argentina,https://g1.globo.com/economia/noticia/2024/06/13/tombo-maior-em-2024-e-forte-crescimento-em-2025-as-projecoes-do-banco-mundial-para-a-argentina.ghtml,2024-06-13,g1,crise econômica
Shein eleva preços de produtos antes de abrir capital na bolsa de valores,https://g1.globo.com/economia/negocios/noticia/2024/06/13/shein-precos.ghtml,2024-06-13,g1,bolsa valores
Especialista revela se escovas de dentes macias são realmente melhores,https://g1.globo.com/pr/parana/especial-publicitario/bluem/mais-saude-bucal-com-oxigenio-ativo/noticia/2024/06/24/especialista-revela-se-escovas-de-dentes-macias-sao-realmente-melhores.ghtml,2024-06-24,g1,recessão brasil
"'Da forma como estão as contas públicas, vamos caminhar para uma nova crise fiscal', diz economista",https://g1.globo.com/economia/noticia/2024/06/29/da-forma-como-estao-as-contas-publicas-vamos-caminhar-para-uma-nova-crise-fiscal-diz-economista.ghtml,2024-06-29,g1,crise econômica
Bolsa de valores no Rio busca fomentar mercado financeiro na cidade: entenda o que muda,https://g1.globo.com/rj/rio-de-janeiro/noticia/2024/07/06/bolsa-de-valores-no-rio-busca-fomentar-mercado-financeiro-na-cidade-entenda-o-que-muda.ghtml,2024-07-06,g1,bolsa valores
"Venezuela: contra Edmundo Gonzalez, Nicolás Maduro tenta terceiro mandato seguido",https://g1.globo.com/jornal-nacional/noticia/2024/07/27/venezuela-contra-edmundo-gonzalez-nicolas-maduro-tenta-terceiro-mandato-seguido.ghtml,2024-07-27,g1,crise econômica
"Venezuelanos que vivem na fronteira brasileira deixam de votar por medo, desconfiança e distância",https://g1.globo.com/rr/roraima/noticia/2024/07/28/venezuelanos-que-vivem-na-fronteira-brasileira-deixam-de-votar-por-medo-desconfianca-e-distancia.ghtml,2024-07-28,g1,crise econômica
Nova ‘black monday’: veja as perguntas e respostas sobre a crise nos mercados desta segunda-feira,https://g1.globo.com/economia/negocios/noticia/2024/08/05/veja-as-perguntas-e-respostas-sobre-a-crise-nos-mercados.ghtml,2024-08-05,g1,recessão brasil
'Black Monday': entenda o que aconteceu com o dólar e se a moeda pode chegar a R$ 6,https://g1.globo.com/economia/noticia/2024/08/05/black-monday-entenda-o-que-aconteceu-com-o-dolar-e-se-a-moeda-pode-chegar-a-r-6.ghtml,2024-08-05,g1,recessão brasil
"Dólar fecha a R$ 5,74 e renova maior patamar desde dezembro de 2021, com temores de recessão nos EUA; Ibovespa cai",https://g1.globo.com/economia/noticia/2024/08/05/dolar-ibovespa.ghtml,2024-08-05,g1,recessão brasil
Dólar dispara de novo e renova as preocupações com a inflação brasileira,https://g1.globo.com/economia/noticia/2024/08/06/com-black-monday-dolar-dispara-de-novo-e-renova-as-preocupacoes-com-a-inflacao-brasileira.ghtml,2024-08-06,g1,recessão brasil
Greve do Ibama provoca crise econômica no setor florestal de Mato Grosso,https://g1.globo.com/mt/mato-grosso/especial-publicitario/cipem-mt/cipem-mt/noticia/2024/08/07/greve-do-ibama-provoca-crise-economica-no-setor-florestal-de-mato-grosso.ghtml,2024-08-07,g1,crise econômica
"Ibovespa volta aos 130 mil pontos, após diminuir a chance de recessão dos EUA; dólar cai a R$ 5,51",https://g1.globo.com/economia/noticia/2024/08/09/dolar-ibovespa.ghtml,2024-08-09,g1,recessão brasil
Educação Financeira #303: o que saber antes de investir em ações ainda em 2024?,https://g1.globo.com/podcast/educacao-financeira/noticia/2024/08/12/educacao-financeira-303-o-que-saber-antes-de-investir-em-acoes-ainda-em-2024.ghtml,2024-08-12,g1,recessão brasil
Fim da euforia? Como está a economia argentina 9 meses depois da posse de Milei,https://g1.globo.com/economia/noticia/2024/08/14/como-esta-a-economia-argentina-9-meses-depois-da-posse-de-milei.ghtml,2024-08-14,g1,crise econômica
Crise financeira e ordem para leilão: como castelo do cantor José Rico passou de sonho ao abandono,https://g1.globo.com/sp/piracicaba-regiao/noticia/2024/08/21/crise-financeira-e-ordem-para-leilao-como-castelo-do-cantor-jose-rico-passou-de-sonho-ao-abandono.ghtml,2024-08-21,g1,crise financeira
Brasil é 6ª economia que mais cresceu no mundo em 2024,https://g1.globo.com/economia/noticia/2024/09/03/brasil-e-6a-economia-que-mais-cresceu-no-mundo-em-2024.ghtml,2024-09-03,g1,recessão brasil
Crise financeira na UFRJ: universidade calcula déficit acima de R$ 200 milhões; MEC nega,https://g1.globo.com/rj/rio-de-janeiro/noticia/2024/09/05/crise-financeira-na-ufrj-universidade-calcula-deficit-acima-de-r-200-milhoes-mec-nega.ghtml,2024-09-05,g1,crise financeira
"Superquarta: entenda por que o BC do Brasil vai subir os juros, enquanto os EUA vão baixar",https://g1.globo.com/economia/noticia/2024/09/16/superquarta-entenda-por-que-o-bc-do-brasil-vai-subir-os-juros-enquanto-os-eua-vao-baixar.ghtml,2024-09-16,g1,recessão brasil
Leilão na Bolsa de Valores define empresas que farão coleta e tratamento de esgoto em 112 cidades do Paraná,https://g1.globo.com/pr/parana/economia/noticia/2024/09/21/leilao-na-bolsa-de-valores-sanepar.ghtml,2024-09-21,g1,bolsa valores
Líder de partido marxista vence eleições no Sri Lanka,https://g1.globo.com/mundo/noticia/2024/09/22/lider-de-partido-marxista-vence-eleicoes-no-sri-lanka.ghtml,2024-09-22,g1,crise econômica
"Lula e Haddad se reúnem com 
agências de risco em Nova York; ministro diz esperar novas altas na nota de crédito do Brasil",https://g1.globo.com/economia/noticia/2024/09/23/em-nova-york-haddad-se-reune-com-agencias-de-risco-e-diz-esperar-novas-altas-na-nota-de-credito-do-brasil.ghtml,2024-09-23,g1,recessão brasil
"Haddad diz que economia brasileira deverá crescer acima de 2,5% nos 4 anos do governo Lula",https://g1.globo.com/economia/noticia/2024/09/25/evento-haddad-safra.ghtml,2024-09-25,g1,recessão brasil
"Argentina: pobreza dispara e atinge 15,7 milhões de pessoas; situação afeta 52,9% da população",https://g1.globo.com/economia/noticia/2024/09/26/argentina-pobreza.ghtml,2024-09-26,g1,crise econômica
Veja o histórico das notas de crédito do Brasil e entenda o que leva um país a ter grau de investimento,https://g1.globo.com/economia/noticia/2024/10/01/veja-o-historico-das-notas-de-credito-do-brasil-e-entenda-o-que-leva-um-pais-a-ter-grau-de-investimento.ghtml,2024-10-01,g1,recessão brasil
Moody's: entenda por que a agência decidiu elevar a nota de crédito do Brasil,https://g1.globo.com/economia/noticia/2024/10/02/moodys-entenda-por-que-a-agencia-decidiu-elevar-a-nota-de-credito-do-brasil.ghtml,2024-10-02,g1,recessão brasil
