title,url,date,source,keyword
Desempregados vão protestar contra visita de O'Neill à Argentina,http://www1.folha.uol.com.br/folha/dinheiro/ult91u52716.shtml,2002-08-02,folha,recessão brasil
"EUA estão fazendo reparos em sua economia, diz O'Neill",http://www1.folha.uol.com.br/folha/reuters/ult112u19325.shtml,2002-08-03,folha,recessão brasil
Editoriais: À ESPERA DO FMI,http://www1.folha.uol.com.br/fsp/opiniao/fz0408200201.htm,2002-08-04,folha,recessão brasil
Editoriais: A CRISE REAL,http://www1.folha.uol.com.br/fsp/opiniao/fz0508200201.htm,2002-08-05,folha,recessão brasil
Bolsas caem e Europa teme contração dos EUA,http://www1.folha.uol.com.br/fsp/dinheiro/fi0608200223.htm,2002-08-06,folha,recessão brasil
Jornais destacam viagem de O'Neill pela América Latina,http://www1.folha.uol.com.br/folha/bbc/ult272u13271.shtml,2002-08-06,folha,recessão brasil
"Governo dos EUA não ajudará diretamente a Argentina, diz O'Neill",http://www1.folha.uol.com.br/folha/bbc/ult272u13308.shtml,2002-08-07,folha,recessão brasil
O preço do passado,http://www1.folha.uol.com.br/colunas/helioschwartsman/356296-po-preco-do-passadop.shtml,2002-08-08,folha,recessão brasil
O preço do passado,http://www1.folha.uol.com.br/folha/pensata/ult510u69.shtml,2002-08-08,folha,recessão brasil
Crise leva mudança ao Consenso de Washington,http://www1.folha.uol.com.br/folha/dinheiro/ult91u53235.shtml,2002-08-09,folha,recessão brasil
Crise leva mudança ao Consenso de Washington,http://www1.folha.uol.com.br/fsp/dinheiro/fi0908200211.htm,2002-08-09,folha,recessão brasil
Análise/Megapacote: FMI aposta seu futuro no Brasil -e vice-versa,http://www1.folha.uol.com.br/fsp/dinheiro/fi0908200208.htm,2002-08-09,folha,recessão brasil
Análise: FMI aposta seu futuro no Brasil -e vice-versa,http://www1.folha.uol.com.br/folha/dinheiro/ult91u53219.shtml,2002-08-09,folha,recessão brasil
TENDÊNCIAS/DEBATESO governo fez bem em fechar acordo com o FMI? - Sim - José Carlos de Souza Braga: Tudo e nada a comemorar,http://www1.folha.uol.com.br/fsp/opiniao/fz1008200209.htm,2002-08-10,folha,recessão brasil
Opinião Econômica: A carga da brigada ligeira,http://www1.folha.uol.com.br/fsp/dinheiro/fi1108200203.htm,2002-08-11,folha,recessão brasil
Piora lá pode agravar mais a situação aqui,http://www1.folha.uol.com.br/fsp/dinheiro/fi1208200212.htm,2002-08-12,folha,recessão brasil
"FOLHAINVESTMercado Financeiro: Agora, mercado analisa acordo com o FMI",http://www1.folha.uol.com.br/fsp/dinheiro/fi1208200203.htm,2002-08-12,folha,recessão brasil
"Entrevista da 2ª: Ajuda do FMI só adia colapso, diz britânico",http://www1.folha.uol.com.br/fsp/brasil/fc1208200218.htm,2002-08-12,folha,recessão brasil
Ex-ministros dizem o que não deu certo,http://www1.folha.uol.com.br/fsp/dinheiro/fi1208200214.htm,2002-08-12,folha,recessão brasil
