date,crisis_probability,regime
125,2.9371014332988356e-05,0
126,3.499042764856741e-05,0
127,0.00013895721938935859,0
128,0.000202657481977771,0
129,5.05175210806391e-05,0
130,3.860419713178713e-05,0
131,5.1878959722370145e-05,0
132,0.00015981101847705118,0
133,0.001542389698941899,0
134,0.0009417248516904952,0
135,0.0001386182413589122,0
136,7.892718858135516e-05,0
137,5.792786616975819e-05,0
138,8.630245131101922e-05,0
139,0.0008050609785492475,0
140,0.0036723964821285754,0
141,0.025051079254267805,0
142,0.1731552770802802,0
143,0.8265798918021344,1
144,0.9661046445761653,1
145,0.9999177749106043,1
146,0.9999974391233506,1
147,0.9999956403989017,1
148,0.9999978354325133,1
149,0.9999826989078304,1
150,0.9999876795523479,1
151,0.9998974426273086,1
152,0.9999993202672504,1
153,0.9999021523007541,1
154,0.9999961040811916,1
155,0.9995210533040227,1
156,0.9916733594545271,1
157,0.8176435146760673,1
158,0.4164495017411259,0
159,0.06477582870561735,0
160,0.004703517762746378,0
161,0.0005029680835871428,0
162,7.462794573185347e-05,0
163,4.872483704893874e-05,0
164,5.576018523118304e-05,0
165,0.00012440753189784707,0
166,0.0007906192333413249,0
167,0.0011072330363793453,0
168,0.00031328202123350417,0
169,0.0001508996403464376,0
170,0.00010444380966244931,0
171,0.00013555173523751942,0
172,0.00022003857410539502,0
173,0.0001669603580497449,0
174,5.737772783418918e-05,0
175,4.711797526467837e-05,0
176,4.6476895239471666e-05,0
177,6.188023665735942e-05,0
178,0.0002613737622663651,0
179,0.00017579174596511608,0
180,8.299396865148125e-05,0
181,6.0203118293719864e-05,0
182,5.858361029140913e-05,0
183,0.00011156224591205615,0
184,0.0010448038819259149,0
185,0.0007831138339548409,0
186,7.655446727860235e-05,0
187,4.684578678756604e-05,0
188,5.439765915750305e-05,0
189,0.00029237637745274306,0
190,0.00028617033926688816,0
191,0.00035975146810793984,0
192,5.668303287498613e-05,0
193,5.778596549241614e-05,0
194,0.00011737703096260817,0
195,0.001287472626405355,0
196,0.001238908096091906,0
197,0.0001402163710594522,0
198,6.413285110945489e-05,0
199,3.835661523445515e-05,0
200,3.3992539301972474e-05,0
201,9.287137652526797e-05,0
202,0.00012011099288181634,0
203,3.6033001515193846e-05,0
204,3.0365939487764932e-05,0
205,2.9471841009333128e-05,0
206,3.0100876995797394e-05,0
207,5.280807534630617e-05,0
208,8.494837317082871e-05,0
209,3.739556329168827e-05,0
210,3.5633706395752455e-05,0
211,3.0238606810146108e-05,0
212,3.809242011657214e-05,0
213,0.00010212007035228002,0
214,0.00014272509366802802,0
215,4.7123774009587085e-05,0
216,5.4618864701672994e-05,0
217,3.4978890293822235e-05,0
218,3.375090488564349e-05,0
219,0.00010642931753510251,0
220,7.506559600955486e-05,0
221,3.589480948419725e-05,0
