date,stress_sum,stress_mean,article_count,stress_articles,financial_terms,stress_terms,negative_terms,sources,fsi_raw,fsi_proportion,news_fsi
2018-10-08,9.120955864630135,0.2605987389894324,35,5,17,10,9,"folha, g1",0.2605987389894324,0.14285714285714285,0.10638898968947424
2018-10-15,11.65685424949238,0.2988936987049328,39,9,26,11,10,"folha, g1",0.2988936987049328,0.23076923076923078,0.12202284152670978
2018-10-22,12.099771282656063,0.15124714103320078,80,6,22,16,12,"folha, g1",0.15124714103320078,0.075,0.06174638676435101
2018-10-29,6.656854249492381,0.0924563090207275,72,4,33,12,4,"folha, g1",0.0924563090207275,0.05555555555555555,0.037745130100310643
2018-11-05,7.692130429902463,0.18761293731469422,41,5,19,3,9,folha,0.18761293731469422,0.12195121951219512,0.07659266092762781
2018-11-12,16.327804920294028,0.2633516922628069,62,10,36,13,18,"folha, g1",0.2633516922628069,0.16129032258064516,0.10751287815705628
2018-11-19,6.1815405503520555,0.13152213936919266,47,4,20,12,13,"g1, folha",0.13152213936919266,0.0851063829787234,0.05369368855562284
2018-11-26,9.009967675098245,0.1477043881163647,61,5,24,8,12,"folha, g1",0.1477043881163647,0.08196721311475409,0.060300063942516816
2018-12-03,16.08103548696372,0.20616712162774,78,10,34,16,12,"folha, g1",0.20616712162774,0.1282051282051282,0.08416737495438019
2018-12-10,5.277916867529369,0.09099856668154084,58,3,29,9,10,"folha, g1",0.09099856668154084,0.05172413793103448,0.0371500092824009
2018-12-17,20.406911894894584,0.3188579983577279,64,12,31,9,19,"folha, valor",0.3188579983577279,0.1875,0.13017323273027165
2018-12-24,25.727922061357855,0.25727922061357855,100,19,75,15,15,"folha, valor, g1",0.25727922061357855,0.19,0.10503380198736852
2018-12-31,3.0,0.2,15,2,5,1,4,"folha, valor",0.2,0.13333333333333333,0.08164965809277261
2019-01-14,2.0,2.0,1,1,1,2,0,g1,2.0,1.0,0.8164965809277261
2019-01-21,0.0,0.0,1,0,0,0,1,g1,0.0,0.0,0.0
2019-01-28,2.0,2.0,1,1,1,2,0,g1,2.0,1.0,0.8164965809277261
2019-03-11,1.4142135623730951,0.3535533905932738,4,1,4,0,1,folha,0.3535533905932738,0.25,0.14433756729740646
2019-03-18,5.242640687119286,0.7489486695884694,7,4,9,1,3,folha,0.7489486695884694,0.5714285714285714,0.30575701400467725
2019-03-25,15.53000977870159,1.553000977870159,10,7,17,6,8,"folha, g1",1.553000977870159,0.7,0.6340099943042
2019-04-01,4.242640687119286,0.7071067811865476,6,3,11,0,3,folha,0.7071067811865476,0.5,0.2886751345948129
2019-04-08,9.692130429902463,0.5701253194060272,17,6,17,2,7,folha,0.5701253194060272,0.35294117647058826,0.23275268699767448
2019-04-15,3.0,0.25,12,2,16,1,2,folha,0.25,0.16666666666666666,0.10206207261596577
2019-04-22,6.82842712474619,0.4016721838085994,17,4,20,3,3,folha,0.4016721838085994,0.23529411764705882,0.1639819823667473
2019-04-29,1.7320508075688772,0.13323467750529824,13,1,14,0,1,folha,0.13323467750529824,0.07692307692307693,0.05439282932204212
2019-05-06,7.692130429902463,0.24813323967427298,31,5,22,12,6,folha,0.24813323967427298,0.16129032258064516,0.10129997090428194
2019-05-13,15.520557554648654,0.408435725122333,38,11,30,10,10,folha,0.408435725122333,0.2894736842105263,0.16674318654556072
2019-05-20,8.449489742783179,0.26404655446197434,32,6,32,5,6,"folha, g1",0.26404655446197434,0.1875,0.10779655446197434
2019-05-27,13.261888403268674,0.6630944201634337,20,8,21,3,9,folha,0.6630944201634337,0.4,0.27070716344784834
2019-06-03,8.292528739883945,0.5528352493255964,15,5,11,4,9,folha,0.5528352493255964,0.3333333333333333,0.22569404544533822
2019-06-10,9.838394799844435,0.49191973999222177,20,6,21,6,2,folha,0.49191973999222177,0.3,0.20082539289725254
2019-06-17,9.82842712474619,0.4914213562373095,20,6,17,9,8,"folha, g1",0.4914213562373095,0.3,0.20062192858131464
2019-06-24,13.838394799844435,0.5535357919937774,25,6,32,5,6,folha,0.5535357919937774,0.24,0.22598004079202014
2019-07-01,9.82842712474619,0.5460237291525661,18,6,19,4,4,folha,0.5460237291525661,0.3333333333333333,0.2229132539792385
2019-07-08,7.692130429902463,0.3662919252334506,21,4,16,5,3,folha,0.3662919252334506,0.19047619047619047,0.14953805228727335
2019-07-15,5.0,0.3125,16,3,17,2,4,"folha, g1",0.3125,0.1875,0.1275775907699572
2019-07-22,5.656854249492381,0.3771236166328254,15,4,14,2,2,folha,0.3771236166328254,0.26666666666666666,0.15396007178390023
2019-07-29,2.414213562373095,0.12706387170384711,19,2,17,2,2,folha,0.12706387170384711,0.10526315789473684,0.051873608402815206
2019-08-05,11.388905057061258,0.42181129840967624,27,7,20,5,10,"folha, g1",0.42181129840967624,0.25925925925925924,0.17220374147409273
2019-08-12,38.44880100038712,0.6516745932269004,59,21,53,26,20,"folha, g1",0.6516745932269004,0.3559322033898305,0.2660450386236154
